ID admis;Název projektu;druh stavby;podkategorie;dopravní zatížení;spolufinancování;dopravní význam;technický stav;stavební stav;životní prostředí;regionální význam;jediná přístupová cesta;stav přípravy;hromadná doprava;nehodová lokalita;Výsledné hodnocení;Hodnocení s korekcí;Předpokládané náklady KSÚS (s DPH);Předpokládaný zdroj spolufinancování;Poznámky;29 258 546 445.85;Prosím opravit a zapsat do sloupce R (starý předpokládaný zdroj spolufinancování);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/116 a III/11614 Srbsko, průtah;oprava a rekonstrukce;Rekonstrukce;4;10;7;10;10;1;7;0;2;0;4;37.2;58.1;79 052 564.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
473;II/116 Beroun - Srbsko;oprava a rekonstrukce;Rekonstrukce;1;10;10;3;6;10;4;0;0;10;0;27.1;42.3;302 500 000.00;;Předpokládaný termmín realizace 03/2024-12/2024. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/116 Hostim a Nižbor a II/201 Višňová - Nezabudice, nestabilní skalní masiv;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);-;4;10;10;10;10;0;2;0;2;0;4;45.4;63.9;64 130 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/116 Jinočany - Hlásná Třebáň, přeložka silnice;novostavba (obchvat, přeložka, propojka);-;10;0;10;0;0;10;10;0;2;0;0;36;69.2;1 900 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/116 Malá Hraštice - Nový Knín ;oprava a rekonstrukce;Souvislá údržba;3;0;10;10;10;10;10;0;10;10;7;50.5;78.9;2 465 454.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
383;II/116 most ev.č.116-023 Nový Knín;oprava a rekonstrukce;Rekonstrukce;4;0;8;3;3;0;4;0;10;10;4;29.6;46.3;18 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/116 Nová Ves pod Pleší;oprava a rekonstrukce;Rekonstrukce;3;10;10;6;10;10;4;0;10;10;2;45.3;70.8;64 207 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/116 Řevnice, havárie zemního tělesa;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);;1;10;9;10;10;0;4;0;10;0;2;50.9;71.7;1 200 323.90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/116, III/11626 a III/11624 Mníšek pod Brdy  ;oprava a rekonstrukce;Rekonstrukce;3;10;7;6;6;0;7;0;10;10;4;42.1;65.8;55 802 343.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/116, III/11626 a III/11624 Mníšek pod Brdy II. část;oprava a rekonstrukce;Rekonstrukce;3;10;7;6;6;0;7;0;10;10;4;42.1;65.8;24 093 690.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/116,III/1164 a III/1164A, průtah obcí Hýskov-PD;oprava a rekonstrukce;Rekonstrukce;4;10;10;6;6;10;7;0;8;10;2;43;67.2;63 024 287.38;;Předpokládaný termmín realizace 06/2023-12/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/117 a III/23511 Žebrák, zlepšení dopravní obslužnosti;novostavba (obchvat, přeložka, propojka);-;6;10;10;0;0;10;7;0;2;0;0;38.2;73.5;104 153 412.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/118 Hluboš – hr. Okr. Příbram a Lochovice – Rejkovice;oprava a rekonstrukce;Rekonstrukce;4;10;10;3;3;10;10;0;2;10;2;34.6;54.1;205 700 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;II/118 Krašovice – most ev.č. 118-001 a opěrná zeď - PD;mostní objekty a propustky;Most;2;0;10;10;10;10;7;0;5;10;2;30.2;62.9;20 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;II/118 Třebichovice, průtah;oprava a rekonstrukce;Rekonstrukce;3;10;10;3;10;10;4;0;2;10;0;34.5;53.9;78 650 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;II/118 Želevčice - Zlonice;oprava a rekonstrukce;Rekonstrukce;4;10;10;3;10;1;2;10;2;0;2;29.8;46.6;95 000 000.00;-;Předpokládaný termmín realizace 03/2024-12/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/119 Dobříš, most ev.č. 119-001;mostní objekty a propustky;Most;3;10;10;6;6;10;10;0;8;10;0;35.9;74.8;10 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/120 Dobrošovice - rek. opěrné zdi;oprava a rekonstrukce;Rekonstrukce;3;0;10;6;10;10;10;0;5;10;4;41.7;65.2;3 176 761.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;II/120 Sedlec - Prčice - hr. Kraje 16,976-11,566 km ;oprava a rekonstrukce;Rekonstrukce;4;10;10;6;6;10;7;0;10;10;7;46;71.9;159 500 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;II/121 Heřmaničky - obchvat, PD;novostavba (obchvat, přeložka, propojka);-;3;10;10;0;0;10;4;0;2;0;0;33.1;63.7;119 185 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300;II/121 Votice, Husova ul.;oprava a rekonstrukce;Rekonstrukce;3;0;10;10;6;10;7;10;8;10;7;44.5;69.5;50 820 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/125 Červený Hrádek - Uhlířské Janovice;oprava a rekonstrukce;Souvislá údržba;6;10;10;3;6;10;10;0;10;10;4;47.4;74.1;22 074 237.11;;;;IROP 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/125 Louňovice - Kamberk;oprava a rekonstrukce;Rekonstrukce;2;10;10;6;10;10;2;0;5;10;0;37.2;58.1;89 999 999.65;;Předpokládaný termmín realizace 03/2024-12/2024;;IROP 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/125 Velký Osek, kamerová prohlídka dešťové kanalizace;oprava a rekonstrukce;Souvislá údržba;6;10;10;6;6;10;10;0;10;10;4;49.8;77.8;557 205.00;;Předpoklad SFDI nebo IROP dle možností v době dokončení;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;II/125 Vlašim - Pavlovice;novostavba (obchvat, přeložka, propojka);-;5;10;10;0;0;10;7;0;2;0;0;37.5;72.1;35 695 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;II/125 Vlašim – příčná spára u mostu 125-012;oprava a rekonstrukce;Rekonstrukce;3;9;9;6;10;10;4;10;10;10;0;47.2;73.8;50 000 000.00;IROP 2;;;IROP 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;II/126 – Propojení D1 se sil. I/2, II. etapa ;oprava a rekonstrukce;Rekonstrukce;4;9;10;6;6;10;10;0;10;10;10;49.1;76.7;485 541 572.56;;Předpoklad SFDI nebo IROP dle možností v době dokončení;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/150 Bezděkov;oprava a rekonstrukce;Souvislá údržba;3;0;10;1;10;10;10;0;10;10;7;43.3;67.7;5 728 226.82;;;;IROP 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/150 Loket - Brzotice;oprava a rekonstrukce;Rekonstrukce;3;0;10;10;10;10;7;0;2;10;4;38.9;60.8;48 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
463;II/174 Březnice - Hudčice, hr. kraje;oprava a rekonstrukce;Rekonstrukce;3;10;10;6;10;10;4;0;2;10;10;38.9;60.8;215 000 000.00;;Nutné realizovat s Lysá obchvat 2. stavba;;IROP 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/174 Březnice, most ev.č. 174-006 PD;mostní objekty a propustky;Most;3;0;10;6;6;0;10;0;8;10;0;31.9;66.5;25 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/174 Lazsko - Tochovice - PD;oprava a rekonstrukce;Rekonstrukce;2;10;10;6;6;10;7;10;8;10;4;45;70.3;35 000 000.00;;;;IROP 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/174 Milín -Lazsko;oprava a rekonstrukce;Souvislá údržba;3;0;10;6;10;10;10;0;10;10;4;46.7;73.0;11 147 833.07;;Předpokládaný termmín realizace 07/2024-07/2025. V případě komplpikací s NPÚ realizace 2024.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/201 Višňová-Nezabudice, nestabilní skalní masiv - nejnutnější zabezpečovací práce;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);-;1;1;9;6;6;0;4;0;10;0;0;33.7;47.5;1 500 000.00;;Předpokládaný termmín realizace 03/2024-06/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;II/228 Jesenice - Rakovník, rekonstrukce - PD;oprava a rekonstrukce;Rekonstrukce;4;10;10;6;10;10;7;0;8;10;10;48.6;75.9;215 000 000.00;;Předpokiládaný termín realizace během stavební sezony 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;II/229 Lišany - obchvat, PD;novostavba (obchvat, přeložka, propojka);-;4;10;10;0;0;10;4;0;5;0;0;36.8;70.8;600 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
471;II/229 Rakovník připojení na II/237 (obchvat města, trasa B3), PD;novostavba (obchvat, přeložka, propojka);-;5;10;10;0;0;10;7;0;5;0;0;40.5;77.9;274 240 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
448;II/229 Rakovník, obchvat, část B1, PD;novostavba (obchvat, přeložka, propojka);-;5;10;10;0;0;10;7;0;2;0;0;37.5;72.1;290 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/229 Rakovník, ul. Lišanská;oprava a rekonstrukce;Souvislá údržba;3;10;10;3;6;0;7;0;8;10;2;37.9;59.2;4 267 841.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/236 Černín, nestabilní svah-PD;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);-;3;10;10;3;3;0;7;0;2;0;0;31.8;44.8;5 710 958.00;;Předpoklad SFDI nebo IROP dle možností v době dokončení;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;II/237 N. Strašecí - Mšec, rekonstrukce - II.b etapa;mostní objekty a propustky;Most;4;10;10;6;6;0;7;0;10;10;0;35;72.9;17 000 000.00;;Předpokládaný termmín realizace 03/2024-12/2024;;IROP 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;II/237 N. Strašecí - Mšec, rekonstrukce, II. etapa;oprava a rekonstrukce;Rekonstrukce;3;10;10;3;2;10;4;0;10;10;0;34.5;53.9;110 476 228.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/239 Šlapanice, most ev.č. 239-007 pro odtok přívalové vody;mostní objekty a propustky;Most;2;10;10;10;6;10;10;0;10;10;0;38.2;79.6;5 100 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/240 a II/101, přeložka silnic v úseku D7 - D8, I. etapa - D7 MÚK Středokluky - Obchvat Kralup nad Vltavou      ;novostavba (obchvat, přeložka, propojka);-;10;10;10;0;0;0;10;0;2;0;0;37;71.2;1 723 767 000.00;;;;SFDI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/240 a II/101, přeložka silnic v úseku D7 - D8, II. etapa - Obchvat Kralup nad Vltavou   ;novostavba (obchvat, přeložka, propojka);-;10;10;10;0;0;0;10;0;5;0;0;40;76.9;1 968 043 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/240 a II/101, přeložka silnic v úseku D7 - D8, III. etapa - Obchvat Kralup nad Vltavou - D8 MÚK Úžice   ;novostavba (obchvat, přeložka, propojka);-;10;10;10;0;0;0;10;0;2;0;0;37;71.2;512 514 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/240 Černuc, rekonstrukce mostu ev. č. 240-027 pro přívalové vody;mostní objekty a propustky;Most;3;8;8;3;10;0;2;0;0;0;0;18.2;37.9;10 000 000.00;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/240 Černý Vůl, opěrná zeď;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);-;5;10;10;6;6;0;10;0;5;0;2;47;66.2;125 939 745.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/240 Kralupy nad Vltavou, ul. Na Velvarské silnici;oprava a rekonstrukce;Souvislá údržba;4;0;10;6;6;10;4;0;10;10;2;37;57.8;9 394 335.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/240 Malá Bučina;oprava a rekonstrukce;Souvislá údržba;4;0;10;3;6;1;2;0;10;10;2;30.8;48.1;3 467 412.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;II/240 Velvary, obchvat;novostavba (obchvat, přeložka, propojka);-;3;9;10;0;0;10;4;0;2;0;0;32.3;62.1;200 000 000.00;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/240, III/2404 Horoměřice, dešťová a splašková kanalizace - PD;oprava a rekonstrukce;Rekonstrukce;5;10;10;10;10;10;7;0;2;10;4;45.3;70.8;24 163 294.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/240,III/2404 Horoměřice-PD;oprava a rekonstrukce;Rekonstrukce;6;10;10;3;6;1;10;0;2;10;7;38.2;59.7;66 754 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402;II/242, III/2421, III/2422 Roztoky, rekonstrukce silnic;oprava a rekonstrukce;Rekonstrukce;4;10;10;6;6;10;10;10;5;10;7;47;73.4;130 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
342;II/244 Byšice, most ev.č. 244-011 přes Košátecký potok v obci Byšice  ;mostní objekty a propustky;Most;3;0;10;6;6;0;10;0;8;10;0;31.9;66.5;4 295 500.00;;Předpoklad SFDI nebo IROP dle možností v době dokončení;;IROP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;II/244 Měšice I/9 – Byšice I/16 I. etapa;oprava a rekonstrukce;Rekonstrukce;6;10;10;6;6;10;10;0;8;10;7;48.4;75.6;108 900 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;II/244 Měšice I/9 – Byšice I/16 II. etapa;oprava a rekonstrukce;Rekonstrukce;5;10;10;6;10;10;7;0;5;10;10;46.3;72.3;354 530 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;II/244 Přezletice, přeložka včetně napojení na dálnici D0;novostavba (obchvat, přeložka, propojka);-;8;10;10;0;0;10;7;0;2;0;0;39.6;76.2;467 060 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;II/245 Čelákovice, obchvat ;novostavba (obchvat, přeložka, propojka);-;4;9;10;0;0;10;7;0;5;0;0;39;75.0;190 000 000.00;SFDI – UD – účelová dotace;předpoklad možné realizace v roce 2023 z fi. zdrojů SFDI ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;II/245 Český Brod - Žižkova ulice - celková rekonstrukce ulice I etapa;oprava a rekonstrukce;Rekonstrukce;4;10;10;3;10;10;7;0;8;10;0;44.2;69.1;26 157 361.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;II/245 Český Brod - Žižkova ulice - celková rekonstrukce ulice II etapa;oprava a rekonstrukce;Rekonstrukce;4;10;10;3;10;10;7;0;8;10;0;44.2;69.1;29 491 361.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;II/246 Cítov, obchvat včetně úprava silnice II/246 a III/24636 Horní Počaply-obchvat I. etapa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;II/246, Cítov, obchvat včetně úpravy silnice |II/246 a III/24636, Horní Pčaply - obchvat I.etapa;novostavba (obchvat, přeložka, propojka);;3;10;9;0;0;10;10;0;2;0;0;38.1;73.3;529 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;II/261 a III/26124 Liběchov - hr. Kraje;oprava a rekonstrukce;Rekonstrukce;4;10;10;6;10;10;4;10;8;10;10;48.6;75.9;195 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;II/272 Benátky nad Jizerou - Zdětín - aktualizace projektové dokumentace;oprava a rekonstrukce;Rekonstrukce;3;10;10;6;6;10;4;0;8;10;0;38.9;60.8;110 000 000.00;;Předpoklad SFDI nebo IROP dle možností v době dokončení;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/272 Chotětov - Bezno;oprava a rekonstrukce;Souvislá údržba;3;10;10;6;6;10;7;0;10;10;4;44.7;69.8;67 088 737.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/272 Kounice, obchvat;novostavba (obchvat, přeložka, propojka);-;4;10;10;0;0;10;4;0;2;0;0;33.8;65.0;318 481 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/272 Lysá  nad Labem, průtah (ul. Jedličkova);oprava a rekonstrukce;Rekonstrukce;6;0;10;6;6;10;7;0;2;10;10;35;54.7;80 000 000.00;;Předpoklad SFDI nebo IROP dle možností v době dokončení;;IROP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;II/272  Litol-Lysá nad Labem, 2.stavba;novostavba (obchvat, přeložka, propojka);-;7;9;10;0;0;10;7;0;5;0;0;41.1;79.0;570 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/273 Chloumek - Lhotka;oprava a rekonstrukce;Souvislá údržba;5;10;10;6;6;10;7;0;10;10;7;46.7;73.0;21 200 000.00;;;;SFDI (SOKP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/273 Mělník, ul. Kokořínská II.;oprava a rekonstrukce;Souvislá údržba;5;0;10;6;6;10;10;0;10;10;4;44.1;68.9;2 544 192.95;;možno realizovat v roce 2023, spolupráce s obcemi Brandýsek a Pchery (smlouvy o spočném zadání VŘ);;IROP 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/273 Střemy, most ev.č. 273-005 přes potok před obcí Střemy;mostní objekty a propustky;Most;3;10;10;6;6;10;10;0;8;10;0;35.9;74.8;12 500 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/275 Křinec - kř. III/27522;oprava a rekonstrukce;Souvislá údržba;1;0;10;3;6;10;7;0;8;10;2;33.5;52.3;3 747 995.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/275 Luštěnice průtah, rekonstrukce;oprava a rekonstrukce;Rekonstrukce;5;0;10;10;10;10;10;0;2;10;2;42.9;67.0;50 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/275 Zábrdovice - Dymokury;oprava a rekonstrukce;Rekonstrukce;3;10;10;6;6;10;7;0;8;10;4;42.7;66.7;40 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
352;II/276 Bělá pod Bezdězem, most ev.č. 276 - 001  přes rokli za obcí Bělá pod Bezdězem ;mostní objekty a propustky;Most;3;10;10;10;10;10;10;0;8;10;0;40.3;84.0;17 000 000.00;;;;SFDI NZ 2022 - tendrovat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
357;II/276 Bělá pod Bezdězem, most ev.č. 276 - 002  přes rokli za obcí Bělá pod Bezdězem ;mostní objekty a propustky;Most;3;10;10;10;10;10;10;0;5;10;0;37.3;77.7;12 800 000.00;;;;SFDI NZ 2022 - tendrovat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
447;II/277 Mohelnice nad Jizerou / Podhora – zajištění nestabilní skalní stěny;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);;3;0;10;10;10;1;10;0;10;10;0;48.8;68.7;27 777 916.72;SFDI – NZ – národní zdroje;;;SFDI NZ 2022 - tendrovat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/279 Rabakov – Prodašice, II. etapa;oprava a rekonstrukce;Rekonstrukce;3;10;10;6;6;10;4;0;0;0;2;26.3;41.1;30 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/279 Žehrov - hr. kraje HK;oprava a rekonstrukce;Souvislá údržba;2;0;10;10;6;10;7;0;10;10;2;41.8;65.3;19 570 949.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;II/322 Kolín, ul. Třídvorská, okružní křižovatka - PD;oprava a rekonstrukce;Rekonstrukce;5;10;10;6;10;10;7;0;5;10;0;44.3;69.2;42 350 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/324 Městec Králové, ul. Prezidenta Beneše ;oprava a rekonstrukce;Rekonstrukce;2;0;10;3;6;10;7;0;8;10;4;34.6;54.1;7 500 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/327 Krakovany, most ev.č. 327-005;mostní objekty a propustky;Most;3;0;10;6;6;0;10;0;2;10;0;25.9;54.0;7 900 000.00;;;;IROP 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
